global		is_introcampaigncamerapositionsadvice	(value: any)	boolean	Returns true if the supplied value is an <a href="../campaign/intro_campaign_scripts.html#class:intro_campaign_camera_positions_advice">intro_campaign_camera_positions_advice, false otherwise.
global		is_invasionmanager	(value: any)	boolean	Returns true if the supplied value is an invasion manager, false otherwise.
global		is_linkparser	(value: any)	boolean	Returns true if the supplied value is a link parser, false otherwise.
global		is_militaryforce	(value: any)	boolean	Returns true if the supplied value is a campaign military force interface, false otherwise.
global		is_militaryforcelist	(value: any)	boolean	Returns true if the supplied value is a campaign military force list interface, false otherwise.
global		is_missionmanager	(value: any)	boolean	Returns true if the supplied value is a mission manager, false otherwise.
global		is_model	(value: any)	boolean	Returns true if the supplied value is a campaign model interface, false otherwise.
global		is_movieoverlay	(value: any)	boolean	Returns true if the supplied value is a movie_overlay, false otherwise.
global		is_narrativeevent	(value: any)	boolean	Returns true if the supplied value is a <a href="../campaign/narrative_event.html#class:narrative_event">narrative_event, false otherwise.
global		is_narrativequery	(value: any)	boolean	Returns true if the supplied value is a <a href="../campaign/narrative_event.html#class:narrative_query">narrative_query, false otherwise.
global		is_narrativetrigger	(value: any)	boolean	Returns true if the supplied value is a <a href="../campaign/narrative_event.html#class:narrative_trigger">narrative_trigger, false otherwise.
global		is_navigabletour	(value: any)	boolean	Returns true if the supplied value is a navigable tour, false otherwise.
global		is_navigabletoursection	(value: any)	boolean	Returns true if the supplied value is a navigable tour section, false otherwise.
global		is_nil	(value: any)	boolean	Returns true if the supplied value is nil, false otherwise.
global		is_non_empty_table	(value: any)	boolean, string	Returns true if the supplied value is a table containing one or more values at any keys, or false otherwise. See also is_non_empty_table_indexed which checks if the values are stored at numerical keys.
global		is_non_empty_table_indexed	(value: any)	boolean, string	Returns true if the supplied value is a numerically-indexed table containing one or more values, or false otherwise.
global		is_non_negative_number	(value: any)	boolean	Returns true if the supplied value is a number greater than or equal to 0, or false otherwise.
global		is_null	(value: any)	boolean	Returns true if the supplied value is a campaign null script interface, false otherwise.
global		is_number	(value: any)	boolean	Returns true if the supplied value is a number, false otherwise.
global		is_objectivesmanager	(value: any)	boolean	Returns true if the supplied value is an <a href="../campaign/objectives_manager.html#class:objectives_manager">objectives_manager, false otherwise.
global		is_partially_onscreen	(uicomponent: UIC)	boolean	Returns true if the uicomponent is partially on-screen, false otherwise.
global		is_patrolmanager	(value: any)	boolean	Returns true if the supplied value is a patrol manager, false otherwise.
global		is_pendingbattle	(value: any)	boolean	Returns true if the supplied value is a campaign pending battle interface, false otherwise.
global		is_positive_number	(value: any)	boolean	Returns true if the supplied value is a number greater than 0, or false otherwise.
global		is_province	(value: any)	boolean	Returns true if the supplied value is a campaign province interface, false otherwise.
global		is_randomarmy	(value: any)	boolean	Returns true if the supplied value is a random army manager, false otherwise.
global		is_region	(value: any)	boolean	Returns true if the supplied value is a campaign region interface, false otherwise.
global		is_regiondata	(value: any)	boolean	Returns true if the supplied value is a campaign region data interface, false otherwise.
global		is_regionlist	(value: any)	boolean	Returns true if the supplied value is a campaign region list interface, false otherwise.
global		is_regionmanager	(value: any)	boolean	Returns true if the supplied value is a campaign region manager interface, false otherwise.
global		is_scriptaiplanner	(value: any)	boolean	Returns true if the supplied value is a script ai planner, false otherwise.
global		is_scriptedtour	(value: any)	boolean	Returns true if the supplied value is a scripted tour, false otherwise.
global		is_scriptmessager	(value: any)	boolean	Returns true if the supplied value is a script messager, false otherwise.
global		is_scriptunit	(value: any)	boolean	Returns true if the supplied value is a <a href="../battle/script_unit.html#class:script_unit">script_unit, false otherwise.
global		is_scriptunits	(value: any)	boolean	Returns true if the supplied value is a <a href="../battle/script_unit.html#class:script_units">script_units object, false otherwise.
global		is_settlement	(value: any)	boolean	Returns true if the supplied value is a campaign settlement interface, false otherwise.
global		is_slot	(value: any)	boolean	Returns true if the supplied value is a campaign slot interface, false otherwise.
global		is_slotlist	(value: any)	boolean	Returns true if the supplied value is a campaign slot list interface, false otherwise.
global		is_string	(value: any)	boolean	Returns true if the supplied value is a string, false otherwise.
global		is_string_or_table_of_strings	(value: any)	boolean, string	Returns true if the supplied value is a string, or a numerically-indexed table containing one or more string values. If the supplied value is neither of these types then false is returned.
global		is_subtitles	(value: any)	boolean	Returns true if the supplied value is a battle subtitles object, false otherwise.
global		is_table	(value: any)	boolean	Returns true if the supplied value is a table, false otherwise.
global		is_table_of_strings	(value: any)	boolean, string	Returns true if the supplied value is a numerically-indexed table containing one or more string values, or false otherwise.
global		is_table_of_strings_allow_empty	(value: any)	boolean, string	Returns true if the supplied value is an empty table or a numerically-indexed table containing one or more string values, or false otherwise.
global		is_textpointer	(value: any)	boolean	Returns true if the supplied value is a text pointer, false otherwise.
global		is_timermanager	(value: any)	boolean	Returns true if the supplied value is a timer manager, false otherwise.
global		is_tooltiplistener	(value: any)	boolean	Returns true if the supplied value is a tooltip listener, false otherwise.
global		is_tooltippatcher	(value: any)	boolean	Returns true if the supplied value is a tooltip patcher, false otherwise.
global		is_topicleader	(value: any)	boolean	Returns true if the supplied value is a topic_leader, false otherwise.
global		is_uicomponent	(value: any)	boolean	Returns true if the supplied value is a uicomponent, false otherwise.
global		is_uioverride	(value: any)	boolean	Returns true if the supplied value is a ui override, false otherwise.
global		is_unit	(value: any)	boolean	Returns true if the supplied value is a unit object, false otherwise. This works in both campaign and battle on their respective unit object types.
global		is_unitcontroller	(value: any)	boolean	Returns true if the supplied value is a unitcontroller, false otherwise.
global		is_unitlist	(value: any)	boolean	Returns true if the supplied value is a campaign unit list interface, false otherwise.
global		is_units	(value: any)	boolean	Returns true if the supplied value is a units object, false otherwise.
global		is_userdata	(value: any)	boolean	Returns true if the supplied value is userdata, false otherwise.
global		is_vector	(value: any)	boolean	Returns true if the supplied value is a vector object, false otherwise.
global		is_waypoint	(value: any)	boolean	Returns true if the supplied value is a patrol manager waypoint, false otherwise.
global		is_windowedmovieplayer	(value: any)	boolean	Returns true if the supplied value is a windowed_movie_player, false otherwise.
global		is_world	(value: any)	boolean	Returns true if the supplied value is a campaign world interface, false otherwise.
global		load_script_libraries	()		One-shot function to load the script libraries.
global		model_pairs	(parent_list_object: any)	any	An iterator for use with model objects in campaign and battle. When used in a for loop with a model list object, the iterator function returns the index and next item provided by the list object each loop pass.
global		ModLog	(output_text: string)		Writes output to the lua_mod_log.txt text file, and also to the game console.
global		out	(output: string)		out is a table that provides multiple methods for outputting text to the various available debug console spools. It may be called as a function to output a string to the main Lua console spool, but the following table elements within it may also be called to o...
global		output_uicomponent	(subject_uic: UIC, omit_children: boolean?)		Outputs extensive debug information about a supplied uicomponent to the Lua - UI console spool.
global		output_uicomponent_on_click	()		Starts a listener which outputs debug information to the Lua - UI console spool about every uicomponent that's clicked on.
global		play_component_animation	(animation_name: string, ...: any)		Plays a specified component animation on a uicomponent by its path. The path should be one or more strings which when sequentially searched for from the ui root lead to the target uicomponent (see documentation for find_uicomponent_from_table, which performs t...
global		print_all_uicomponent_children	(subject_uic: UIC?, full_output: boolean?)		Prints the name and path of the supplied uicomponent and all its descendents. Very verbose, and can take a number of seconds to complete.
global		pulse_uicomponent	(ui_component: UIC, should_pulse: boolean, brightness: number?, progagate: boolean?, state_name: string?)		Activates or deactivates a pulsing highlight effect on a particular state of the supplied uicomponent. This is primarily used for scripts which activate when the player moves the mouse cursor over certain words in the help pages, to indicate to the player what...
global		r_to_d	(angle: number)	number	Converts a supplied angle in radians to degrees.
global		script_error	(message: string, stack_level_modifier: number?, suppress_assert: boolean?)		THIS FILE IS AUTOMATICALLY GENERATED. DO NOT EDIT MANUALLY. All the global functions! Throws a script error with the supplied message, printing the lua callstack to the Lua console output spool. Useful for debugging.
global		set_class_custom_type	(class_table: table, custom_type: string)		Sets a supplied class table to the supplied type string by setting its __custom_type value. Once this is set, other object tables that are later set to derive from this class with set_object_class will report this custom type when passed to get_custom_type or...
global		set_class_custom_type_and_tostring	(class_table: table, custom_type_value: string)		Sets the custom type and tostring value on the supplied class table to the supplied string value. This function calls set_class_custom_type and set_class_tostring to do this.
global		set_class_metatable	(class_table: table, metatable: table, allow_overwrite: boolean?)		Sets the metatable of the specified class table to the supplied table. This also sets the __is_class_definition field in the metatable which set_object_class uses internally to know the difference between a class definition (which has no concept of self) and a...
global		set_class_tostring	(class_table: table, custom_type: string)		Sets the tostring value of a supplied class table to the specified value by setting its __tostring value. Once this is set, other object tables that are later set to derive from this class with set_object_class will return this value when passed to tostring()....
global		set_component_active	(set_active: boolean, ...: any)		Sets a uicomponent to be active or inactive by its path. The path should be one or more strings which when sequentially searched for from the ui root lead to the target uicomponent (see documentation for find_uicomponent_from_table, which performs the search).
global		set_component_active_with_parent	(set_active: boolean, parent_uicomponent: UIC, ...: any)		Sets a uicomponent to be active or inactive by its path. The path should be one or more strings which when sequentially searched for from a supplied uicomponent parent lead to the target uicomponent (see documentation for find_uicomponent_from_table, which per...
global		set_component_visible	(set_visible: boolean, ...: any)		Sets a uicomponent visible or invisible by its path. The path should be one or more strings which when sequentially searched for from the ui root lead to the target uicomponent (see documentation for find_uicomponent_from_table, which performs the search).
global		set_component_visible_with_parent	(set_visible: boolean, parent_uicomponent: UIC, ...: any)		Sets a uicomponent visible or invisible by its path. The path should be one or more strings which when sequentially searched for from a supplied uicomponent parent lead to the target uicomponent (see documentation for find_uicomponent_from_table, which perform...
global		set_object_class	(object_table: table, class_table: table, ...: any)	any	Sets the supplied object to index from the supplied class in a manner that emulates object-orientation. This will set the class to be the metatable of the object and will set the __index field of the metatable also to the supplied class.
global		set_object_class_unique	(object_table: table, class_table: table, ...: any)	any	Sets the supplied object to index from the supplied class in a manner that emulates object-orientation. This will set up a metatable unique to this object and will set the __index field of this metatable to the supplied class.
global		show_advisor_progress_button	(show_button: boolean?)		Shows or hides the advisor progress/close button.
global		uic_pairs	(parent_uicomponent_object: UIC)	any	An iterator for use with uicomponent objects, which returns each child in succession. When used in a for loop with a uicomponent object, the iterator function returns the index number and the child corresponding to that index each loop pass.
global		UIComponent	(component_address: UIC_Address)	UIC	Casts a component memory address, returned by several functions such as uicomponent:Find, into a valid uicomponent script object so that functions in the uicomponent script interface may be called on it. This function is provided by the UI code.
global		uicomponent_descended_from	(subject_uic: UIC, parent_name: string)	boolean	Takes a uicomponent and a string name. Returns true if any parent ancestor component all the way up to the ui root has the supplied name (i.e. the supplied component is descended from it), false otherwise.
global		uicomponent_has_parent_filter	(uicomponent: UIC, filter: function)	boolean, UIC	Returns true if the supplied uicomponent has a parent or ancestor that matches the supplied filter, or false otherwise. The filter should be a function that accepts a uicomponent as a single argument and returns true or false depending on whether the uicompone...
global		uicomponent_to_str	(subject_uic: UIC)	string	Converts a uicomponent to a string showing its path, for output purposes.
global		unhighlight_all_visible_children	()		Cancels any and all highlights created with highlight_all_visible_children.
global		unhighlight_component_table	()		Cancels any and all highlights created with highlight_component_table.
battle,campaign,frontend	active_pointer	add_hide_on_event_record	(event_name: string, condition: function/boolean?, hide_immediately: boolean?)		Adds a hide-on-event record for this active pointer. If the event is received while the active pointer is being shown, and the optional conditional check passes, then the active pointer is hidden.
battle,campaign,frontend	active_pointer	new	(name: string, orientation: string, uicomponent_specifier: uicomponent/function, text_key: string, x_proportion: number?, y_proportion: number?, width: number?, suppress_record: boolean?)	active_pointer	Creates and returns a new active text pointer object.
battle,campaign,frontend	active_pointer	set_default_delay	(delay: number)		Sets a default delay period for this active pointer, which is the period between when active_pointer:show_when_ready has detected that the pointer is ready to be shown and when the pointer is actually shown.
battle,campaign,frontend	active_pointer	set_default_timeout	(timeout: number)		Sets a default timeout period for this active pointer, which is the period over which active_pointer:show_when_ready will poll the target uicomponent to see if it becomes visible and stops moving.
battle,campaign,frontend	active_pointer	show	()		Immediately shows the text pointer, unless it's been set to pay attention to advice history (and has already been shown).
battle,campaign,frontend	active_pointer	show_after_active_pointer	(active_pointer_name: string, delay_override: number?, timeout_override: number?)		Sets up a listener that attempts to show this active pointer once the specified active pointer closes. Unlike active_pointer:wait_for_active_pointer this doesn't demand that the specified active pointer must have first been shown before this active pointer can...
battle,campaign,frontend	active_pointer	show_on_event	(event: string, condition: boolean/function?, delay_override: number?, timeout_override: number?)		Sets the active pointer to trigger when a script event is received, with an optional conditional check that must be passed. This active pointer must have registered itself in the advice history for this function to work.
battle,campaign,frontend	active_pointer	show_when_ready	(delay_override: number?, timeout_override: number?)		Shows the active text pointer when the target uicomponent that was specified when the active pointer was created is not moving, is visible, and is fully onscreen.
battle,campaign,frontend	active_pointer	wait_for_active_pointer	(active_pointer_name: string, delay_override: number?, timeout_override: number?)		Prevents this active pointer from being shown before another active pointer has been shown. An active pointer may wait for multiple other active pointers, each wait being registered with a call to this function.
campaign,events	ACTIVE_RITUAL_LIST_SCRIPT_INTERFACE	is_empty	()	boolean	Returns a true if there are 0 items in the list
campaign,events	ACTIVE_RITUAL_LIST_SCRIPT_INTERFACE	item_at	(positive: integer)	ACTIVE_RITUAL_SCRIPT_INTERFACE	Returns the item at the index. Make sure the index is between 0 and (max items - 1)
campaign,events	ACTIVE_RITUAL_LIST_SCRIPT_INTERFACE	num_items	()	integer	Returns the number of items in the list
campaign,events	ACTIVE_RITUAL_SCRIPT_INTERFACE	cast_time	()	integer	Total cast time of this ritual
campaign,events	ACTIVE_RITUAL_SCRIPT_INTERFACE	characters_who_performed	()	FAMILY_MEMBER_LIST_SCRIPT_INTERFACE	The characters that performed this ritual
campaign,events	ACTIVE_RITUAL_SCRIPT_INTERFACE	cooldown_time	()	integer	Total cooldown time of this ritual once cast
campaign,events	ACTIVE_RITUAL_SCRIPT_INTERFACE	expended_resources	()	integer	Resource cost of this ritual at the time of commencement (not including slaves)
campaign,events	ACTIVE_RITUAL_SCRIPT_INTERFACE	is_null_interface	()	boolean	Is this the null script interface
campaign,events	ACTIVE_RITUAL_SCRIPT_INTERFACE	is_part_of_chain	()	boolean	Is this active ritual part of a chain?
campaign,events	ACTIVE_RITUAL_SCRIPT_INTERFACE	ritual_category	()	string	Category of this ritual, or the category of its chain if it is part of a chain
campaign,events	ACTIVE_RITUAL_SCRIPT_INTERFACE	ritual_chain_key	()	string	Returns the ritual chain record key for this active ritual. Empty if it isn't part of a chain
campaign,events	ACTIVE_RITUAL_SCRIPT_INTERFACE	ritual_key	()	string	Returns the ritual record key for this active ritual
campaign,events	ACTIVE_RITUAL_SCRIPT_INTERFACE	ritual_sites	()	REGION_LIST_SCRIPT_INTERFACE	Ritual sites used to perform this ritual
campaign,events	ACTIVE_RITUAL_SCRIPT_INTERFACE	ritual_target	()	RITUAL_TARGET_SCRIPT_INTERFACE	The target of this ritual
campaign,events	ACTIVE_RITUAL_SCRIPT_INTERFACE	slave_cost	()	integer	Slave cost of this ritual at the time of commencement
campaign,events	ACTIVE_RITUAL_SCRIPT_INTERFACE	target_faction	()	FACTION_SCRIPT_INTERFACE	Faction target of this ritual
battle	advice_manager	lock_advice	()		Adds an advice lock level to the advice manager, preventing the advice manager from triggering any advice. No advice monitors will trigger if any advice lock is active, and advice only unlocked when all advice locks are removed with advice_manager:unlock_advic...
battle	advice_manager	new	(debug_mode: boolean?)	advice_manager	Creates and returns a new advice manager. Client scripts do not need to call this, however by doing so they will be able to set it into debug mode for more output with advice_manager:set_debug, or disable advice with advice_manager:lock_advice.
battle	advice_manager	set_debug	(debug_mode: boolean?)		Sets debug mode on the advice manager for more output
battle	advice_manager	unlock_advice	()		Removes an advice lock level to the advice manager, potentially allowing the advice manager to trigger advice again. Advice locks are added with advice_manager:lock_advice.
battle	advice_monitor	add_halt_advice_monitor_on_trigger	(name: string)		Halts another advice monitor when this monitor successfully triggers. The other advice monitor is specified by its name.
battle	advice_monitor	add_halt_condition	(condition: function, event: string?)		Adds a halt condition for the advice monitor. Supply one of the following combination of arguments: A condition function that returns a boolean value. In this case, the condition will be polled until it passes, at which point the monitor halts.
battle	advice_monitor	add_halt_on_advice_monitor_triggering	(name: string)		Halts this advice monitor when another advice monitor successfully triggers its advice. The other advice monitor is specified by its name.
battle	advice_monitor	add_ignore_advice_history_condition	(condition: function)		Adds an ignore advice history condition callback. Advice history conditions are queried when the advice monitor is started and, if any return true or a value that evaluates to true then advice history for this advice monitor will be disregarded when it decides...
battle	advice_monitor	add_ignore_advice_history_tweaker	(tweaker_name: string)		Adds an ignore advice history condition for a tweaker. If the supplied tweaker is set, then the advice monitor will ignore its advice history condition. Tweakers are used during development and the game should not be released with any tweakers active.
battle	advice_monitor	add_start_condition	(condition: function, event: string?)		Adds a start condition for the advice monitor, which determines when the advice monitor will begin monitoring its trigger conditions. Supply one of the following combination of arguments: A condition function that returns a boolean value.
battle	advice_monitor	add_trigger_condition	(condition: function, event: string?)		Adds a trigger condition for the advice monitor. Supply one of the following combination of arguments: A condition function that returns a boolean value.
battle	advice_monitor	new	(name: string, priority: number, advice_key: string, infotext: table?)	advice_monitor	Creates and returns a new advice monitor.
battle	advice_monitor	set_advice_level	(advice_level: number)		Sets the minimum advice level at which the advice may be allowed to trigger. If the advice level is set to less than that required by the advice monitor when the advice monitor is started, then the monitor will immediately terminate.
battle	advice_monitor	set_can_interrupt_other_advice	(can_interrupt: boolean?)		Sets whether this advice can interrupt other advice. By default this is disabled.
battle	advice_monitor	set_delay_before_triggering	(delay_in_ms: number)		Sets a delay period before the advice is actually triggered. This is 1000ms by default.
battle	advice_monitor	set_duration	(duration_in_ms: number)		Sets the duration for which this advice monitor blocks other non-interrupting advice for. By default this is 60000ms.
battle	advice_monitor	set_halt_advice_on_battle_end	(halt_on_end: boolean?)		Sets the advice monitor to automatically halt or not when the battle ends. Advice monitors do halt when the battle ends by default - use this function to suppress this behaviour.
battle	advice_monitor	set_halt_callback	(callback: function)		Sets a callback for the advice monitor to call at the point the advice is halted.
battle	advice_monitor	set_trigger_callback	(callback: function, dont_trigger_advice: boolean?)		Sets a callback for the advice monitor to call at the point the advice is triggered (i.e. after any delay set with advice_monitor:set_delay_before_triggering).
battle	ai_planner	add_units	(...: any)		Adds units to the ai planner. One or more battle_unit objects may be specified as arguments. Each unit specified must belong to the battle_alliance from which the planner was created.
battle	ai_planner	attack_unit	(target: battle_unit)		Instructs units in the ai planner to adopt an offensive formation and then attack a specified unit and any other nearby enemies. Other enemies encountered along the way will be intelligently reacted to.
battle	ai_planner	clear_objective	()		Clears the current order of the ai planner.
battle	ai_planner	defend_position	(position: battle_vector, radius: number)		Instructs units in the ai planner to adopt a defensive formation, then move to and defend a specified position from any enemies, staying within a specified radius.
battle	ai_planner	move_to_position	(position: battle_vector)		Instructs units in the ai planner to adopt an movement formation and then move to a specified position.
battle	ai_planner	remove_units	(...: any)		Removes units from the ai planner. One or more battle_unit objects may be specified as arguments. Each unit specified must have previously been added to the planner with ai_planner:add_units.
battle	ai_planner	rush_unit	(target: battle_unit)		Instructs units in the ai planner to attack a specified unit and any other nearby enemies, without too much reforming. Other enemies encountered along the way will be intelligently reacted to.
events	AreaEntered	area_key	()		
events	AreaEntered	family_member	()		
events	AreaExited	area_key	()		
events	AreaExited	family_member	()		
campaign,events	ARMORY_SCRIPT_INTERFACE	get_all_active_variant_slot_states	()	string	Get the current equipment state of the family member, please refer to the armory_slot_types table for their names and to ARMORY_SLOT_TYPE which position in your result will contain which your slot. slot entries can be null signifying an empty slot.
campaign,events	ARMORY_SCRIPT_INTERFACE	get_currently_registered_armory_items	()	string	Get the currently registered armory items of the family member.
campaign,events	ARMORY_SCRIPT_INTERFACE	is_null_interface	()	boolean	Is this the null script interface
campaign,events	ARMORY_SCRIPT_INTERFACE	number_of_equipped_items_of_category	(category_key: string)	integer	Get the number of equipped items belonging to a given category.
campaign,events	ARMORY_SCRIPT_INTERFACE	number_of_equipped_items_of_ui_type	(ui_type_key: string)	integer	Get the number of equipped items belonging to a given ui type.
battle	battle	add_animated_arrow	(animation_time: number, remain_time: number, loop: boolean, ...: any)	number	Adds an animated arrow on the terrain that can be used to indicate a path for the player. The arrow will animate between two or four supplied battle_vector positions. The function returns a numeric index for the animated arrow.
battle	battle	add_ping_icon	(x: number, y: number, z: number, type: number, is_waypoint: boolean, rotation: number)		Adds a 3d ping marker model at a specified [x/y/z] position. It is sufficient just to supply the position, but a type can be used to change the model displayed - see the table below for a list of ping types.
battle	battle	advice_finished	()	boolean	Returns whether or not any advice is currently playing. A value of true is returned if no advice is playing, false if it is.
